timestamp_utc,label,gpu_power_w,gpu_util_pct,throughput_samples_per_s,perf_per_w,iterations,measurement_mode
2026-04-06T14:50:55Z,baseline,38.53,25,12.1559,0.315492,30,subprocess
2026-04-06T14:50:57Z,treatment,38.23,22,12.0438,0.315035,30,subprocess
2026-04-06T14:51:25Z,baseline,38.44,26,11.8746,0.308913,30,subprocess
2026-04-06T14:51:28Z,treatment,38.06,24,12.4699,0.327639,30,subprocess
2026-04-06T14:51:55Z,baseline,38.78,27,11.7755,0.303649,30,subprocess
2026-04-06T14:51:58Z,treatment,38.56,25,12.3401,0.320024,30,subprocess
2026-04-06T14:52:25Z,baseline,38.41,26,12.5496,0.326726,30,subprocess
2026-04-06T14:52:28Z,treatment,38.70,25,12.3554,0.319261,30,subprocess
2026-04-06T14:52:56Z,baseline,39.01,25,12.2758,0.314682,30,subprocess
2026-04-06T14:52:58Z,treatment,38.98,27,12.3516,0.316870,30,subprocess
2026-04-06T14:53:26Z,baseline,39.09,26,12.4641,0.318857,30,subprocess
2026-04-06T14:53:29Z,treatment,39.04,25,12.4307,0.318409,30,subprocess
2026-04-06T14:53:56Z,baseline,39.30,26,12.5399,0.319081,30,subprocess
2026-04-06T14:53:59Z,treatment,39.43,25,12.3782,0.313927,30,subprocess
2026-04-06T14:54:26Z,baseline,39.22,24,12.4664,0.317858,30,subprocess
2026-04-06T14:54:29Z,treatment,39.47,26,12.4556,0.315571,30,subprocess
2026-04-06T14:54:56Z,baseline,39.67,27,12.4888,0.314817,30,subprocess
2026-04-06T14:54:59Z,treatment,39.80,25,12.1279,0.304722,30,subprocess
2026-04-06T14:55:27Z,baseline,39.97,28,12.1824,0.304788,30,subprocess
2026-04-06T14:55:29Z,treatment,39.94,25,12.2873,0.307645,30,subprocess
2026-04-06T14:55:57Z,baseline,40.28,26,12.4777,0.309773,30,subprocess
2026-04-06T14:56:00Z,treatment,45.02,30,10.6763,0.237145,30,subprocess
2026-04-06T14:56:29Z,baseline,41.62,25,11.2529,0.270372,30,subprocess
